,Name_of_car,Model_Date,Engine,Location,Viwe,Price_Rs,Link,Emi_Starts_At :,Car_ID,KmS_Driven,Fuel_Type,Owner,Transmission,RTO
1,Honda City ZX,2008, Petrol,New Delhi,710.0,200900.0,https://www.cars24.com//buy-used-Honda-City-ZX-2008-cars-New-Delhi-1009351857/,3909.0,21681141,"27,954",Petrol,First,Manual,DL4C
2,Honda City,2009, Petrol,Noida,229.99999999999997,238700.0,https://www.cars24.com//buy-used-Honda-City-2009-cars-Noida-1000643686/,4644.0,2210096356,"52,497",Petrol,First,Manual,DL4C
3,Honda City ZX,2006, Petrol + CNG,New Delhi,550.0,79000.0,https://www.cars24.com//buy-used-Honda-City-ZX-2006-cars-New-Delhi-1000922789/,null,220997227,"133,017",Petrol + CNG,Second,Manual,DL3C
4,Honda Civic,2008, Petrol,Noida,270.0,206600.0,https://www.cars24.com//buy-used-Honda-Civic-2008-cars-Noida-1001902189/,4020.0,2209890340,"23,087",Petrol,First,Manual,DL4C
5,Honda City ZX,2006, Petrol,Noida,120.0,122900.0,https://www.cars24.com//buy-used-Honda-City-ZX-2006-cars-Noida-1001922189/,2391.0,221022018,"80,231",Petrol,Second,Manual,DL4C
6,Honda City,2009, Petrol,Noida,140.0,244000.0,https://www.cars24.com//buy-used-Honda-City-2009-cars-Noida-1001982789/,4747.0,221002916,"55,709",Petrol,First,Manual,DL3C
7,Honda City,2009, Petrol,Noida,190.0,239200.0,https://www.cars24.com//buy-used-Honda-City-2009-cars-Noida-1002732989/,4654.0,2210416287,"112,138",Petrol,First,Manual,DL9C
8,Honda City,2014, Petrol,Gurgaon,180.0,570300.0,https://www.cars24.com//buy-used-Honda-City-2014-cars-Gurgaon-1002752989/,11095.0,2210411558,"35,868",Petrol,First,Manual,DL3C
9,Honda City,2015, Petrol,Gurgaon,480.0,479100.0,https://www.cars24.com//buy-used-Honda-City-2015-cars-Gurgaon-1002972789/,9321.0,220999978,"55,219",Petrol,Second,Manual,HR51
10,Honda City ZX,2006, Petrol,Noida,86800.0,78900.0,https://www.cars24.com//buy-used-Honda-City-ZX-2006-cars-Noida-1003962989/,null,2209868299,"86,489",Petrol,First,Manual,DL4C
11,Honda City,2011, Petrol,New Delhi,200.0,384400.0,https://www.cars24.com//buy-used-Honda-City-2011-cars-New-Delhi-1004653686/,7479.0,2209808131,"111,412",Petrol,First,Manual,HR51
12,Honda City ZX,2008, Petrol,New Delhi,320.0,182400.0,https://www.cars24.com//buy-used-Honda-City-ZX-2008-cars-New-Delhi-1004992789/,3549.0,220995378,"27,954",Petrol,First,Manual,DL4C
13,Honda City ZX,2006, Petrol + CNG,New Delhi,470.0,101700.0,https://www.cars24.com//buy-used-Honda-City-ZX-2006-cars-New-Delhi-1005643686/,1979.0,2209873168,"69,998",Petrol + CNG,Second,Manual,DL4C
14,Honda City,2009, Petrol,Noida,120.0,248400.0,https://www.cars24.com//buy-used-Honda-City-2009-cars-Noida-1005972789/,4833.0,2210036558,"125,936",Petrol,First,Manual,DL7C
15,Honda City ZX,2008, Petrol,New Delhi,650.0,134600.0,https://www.cars24.com//buy-used-Honda-City-ZX-2008-cars-New-Delhi-1006653086/,2619.0,2209811346,"86,174",Petrol,Second,Manual,DL4C
16,Honda City ZX,2007, Petrol,New Delhi,210.0,147900.0,https://www.cars24.com//buy-used-Honda-City-ZX-2007-cars-New-Delhi-1006693086/,2878.0,2210307558,"54,317",Petrol,First,Manual,DL3C
17,Honda City ZX,2008, Petrol,New Delhi,150.0,170100.0,https://www.cars24.com//buy-used-Honda-City-ZX-2008-cars-New-Delhi-1006962189/,3310.0,2210209465,"54,534",Petrol,Second,Manual,DL3C
18,Honda Amaze,2017, Petrol + CNG,Gurgaon,190.0,472300.0,https://www.cars24.com//buy-used-Honda-Amaze-2017-cars-Gurgaon-1007623686/,9189.0,220991416,"55,915",Petrol + CNG,First,Manual,DL10
19,Honda City ZX,2006, Petrol,New Delhi,110.00000000000001,103300.0,https://www.cars24.com//buy-used-Honda-City-ZX-2006-cars-New-Delhi-1007952189/,2010.0,2210276299,"115,350",Petrol,Second,Manual,DL3C
20,Honda City,2016, Petrol,Noida,170.0,742800.0,https://www.cars24.com//buy-used-Honda-City-2016-cars-Noida-1008942189/,14451.0,2210172446,"14,048",Petrol,First,Manual,Up16
21,Honda City ZX,2008, Petrol,New Delhi,710.0,200900.0,https://www.cars24.com//buy-used-Honda-City-ZX-2008-cars-New-Delhi-1009351857/,3909.0,21681141,"27,954",Petrol,First,Manual,DL4C
22,Honda City,2009, Petrol,Noida,229.99999999999997,238700.0,https://www.cars24.com//buy-used-Honda-City-2009-cars-Noida-1000643686/,4644.0,2210096356,"52,497",Petrol,First,Manual,DL4C
23,Honda City ZX,2006, Petrol + CNG,New Delhi,550.0,79000.0,https://www.cars24.com//buy-used-Honda-City-ZX-2006-cars-New-Delhi-1000922789/,null,220997227,"133,017",Petrol + CNG,Second,Manual,DL3C
24,Honda Civic,2008, Petrol,Noida,270.0,206600.0,https://www.cars24.com//buy-used-Honda-Civic-2008-cars-Noida-1001902189/,4020.0,2209890340,"23,087",Petrol,First,Manual,DL4C
25,Honda City ZX,2006, Petrol,Noida,120.0,122900.0,https://www.cars24.com//buy-used-Honda-City-ZX-2006-cars-Noida-1001922189/,2391.0,221022018,"80,231",Petrol,Second,Manual,DL4C
26,Honda City,2009, Petrol,Noida,140.0,244000.0,https://www.cars24.com//buy-used-Honda-City-2009-cars-Noida-1001982789/,4747.0,221002916,"55,709",Petrol,First,Manual,DL3C
27,Honda City,2009, Petrol,Noida,190.0,239200.0,https://www.cars24.com//buy-used-Honda-City-2009-cars-Noida-1002732989/,4654.0,2210416287,"112,138",Petrol,First,Manual,DL9C
28,Honda City,2014, Petrol,Gurgaon,180.0,570300.0,https://www.cars24.com//buy-used-Honda-City-2014-cars-Gurgaon-1002752989/,11095.0,2210411558,"35,868",Petrol,First,Manual,DL3C
29,Honda City,2015, Petrol,Gurgaon,480.0,479100.0,https://www.cars24.com//buy-used-Honda-City-2015-cars-Gurgaon-1002972789/,9321.0,220999978,"55,219",Petrol,Second,Manual,HR51
30,Honda City ZX,2006, Petrol,Noida,86800.0,78900.0,https://www.cars24.com//buy-used-Honda-City-ZX-2006-cars-Noida-1003962989/,null,2209868299,"86,489",Petrol,First,Manual,DL4C
31,Honda City,2011, Petrol,New Delhi,200.0,384400.0,https://www.cars24.com//buy-used-Honda-City-2011-cars-New-Delhi-1004653686/,7479.0,2209808131,"111,412",Petrol,First,Manual,HR51
32,Honda City ZX,2008, Petrol,New Delhi,320.0,182400.0,https://www.cars24.com//buy-used-Honda-City-ZX-2008-cars-New-Delhi-1004992789/,3549.0,220995378,"27,954",Petrol,First,Manual,DL4C
33,Honda City ZX,2006, Petrol + CNG,New Delhi,470.0,101700.0,https://www.cars24.com//buy-used-Honda-City-ZX-2006-cars-New-Delhi-1005643686/,1979.0,2209873168,"69,998",Petrol + CNG,Second,Manual,DL4C
